Empresa:,,,,,,,PRISCILA RANGEL LTDA,,,,,,,,,,,,,,,,,Folha:,,,,0001,
C.N.P.J.:,,,,,,,46.250.032/0001-46,,,,,,,,,,,,,,,,,,,,,,
Período:,,,,,,,01/01/2025 - 30/11/2025,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAZÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,Histórico,,,,,,,,,,Cta.C.Part.,,Débito,,Crédito,,Saldo,,,,,,Saldo-Exercício,,
Conta:,,5,,,,,-,,1.1.1.01.0001,,,,CAIXA,,,,,,,,,,,,,,,,
,,,,,SALDO ANTERIOR,,,,,,,,,,,,,,,,,,,,,,991.13d,,
Conta:,,672,,,,,-,,1.1.1.02.0014,,,,BANCO C6,,,,,,,,,,,,,,,,
,,,,,SALDO ANTERIOR,,,,,,,,,,,,,,,,,,,,,,16.74d,,
03/01/2025,,,,,RECEBIMENTO 27 BONIFIQ DESENVOLVIMENTO E LICENCIAMENTO LTDA 1-1 ,,,,,,,,,,504,,"15,000.00",,,,"15,000.00d",,,,,,"15,016.74d",,
03/01/2025,,,,,PAGAMENTO 2921 COLINEAR CONTABILIDADE E FINANCAS LTDA 1-1 ,,,,,,,,,,5002,,,,293.83,,"14,706.17d",,,,,,"14,722.91d",,
03/01/2025,,,,,PAGAMENTO DE PRÓ-LABORE MÊS 12/2024  ,,,,,,,,,,188,,,,"1,256.68",,"13,449.49d",,,,,,"13,466.23d",,
03/01/2025,,,,,DISTRIBUIÇÃO DE LUCROS À PRISCILA APARECIDA RANGEL,,,,,,,,,,658,,,,"12,400.00",,"1,049.49d",,,,,,"1,066.23d",,
08/01/2025,,,,,PAGAMENTO DE INSS MÊS 12/2024 ,,,,,,,,,,191,,,,155.32,,894.17d,,,,,,910.91d,,
14/01/2025,,,,,PAGAMENTO SIMPLES 12/2024 ,,,,,,,,,,479,,,,900.00,,5.83c,,,,,,10.91d,,
05/02/2025,,,,,RECEBIMENTO 28 BONIFIQ DESENVOLVIMENTO E LICENCIAMENTO LTDA 1-1 ,,,,,,,,,,504,,"15,000.00",,,,"15,000.00d",,,,,,"15,010.91d",,
